ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE
326,19650822,122425,-7.8600000000000003,-74.569999999999993,146,4.9000000000000004,20223006
327,19650823,000811,-13.1,-75.200000000000003,107,4.7000000000000002,20223006
328,19650825,145037,-17.599,-69.771000000000001,143,5.2000000000000002,20223006
329,19650906,162553,-9.3000000000000007,-75.900000000000006,31,4.9000000000000004,20223006
330,19650908,041034,-11.1,-73.799999999999997,99,4.7999999999999998,20223006
331,19650911,181754,-11.4,-75.299999999999997,33,4.5999999999999996,20223006
332,19650914,045024,-12.09,-72.569999999999993,72,4.7999999999999998,20223006
333,19650914,071758,-9.8900000000000006,-76.099999999999994,142,5.2000000000000002,20223006
334,19650916,085723,-17.199999999999999,-70.700000000000003,141,4.7999999999999998,20223006
335,19650919,141749,-16.329999999999998,-74.915999999999997,30,5,20223006
336,19650920,063742,-17.300000000000001,-70.5,127,4.9000000000000004,20223006
337,19650920,181041,-6.4299999999999997,-74.930000000000007,138,5.2999999999999998,20223006
338,19650924,094041,-9.4399999999999995,-79.140000000000001,37,4.7999999999999998,20223006
339,19650926,054756,-13,-70.299999999999997,37,4.7999999999999998,20223006
340,19651004,212512,-10.9,-75,33,4.7000000000000002,20223006
341,19651006,024023,-9.8000000000000007,-74.900000000000006,122,4.9000000000000004,20223006
342,19651008,222850,-8.2629999999999999,-75.894999999999996,140,5.2999999999999998,20223006
343,19651010,193500,-7.7000000000000002,-74.599999999999994,140,4.7999999999999998,20223006
344,19651011,000704,-3.6000000000000001,-77.349999999999994,146,4.5,20223006
345,19651017,140905,-16.100000000000001,-73.5,106,4.9000000000000004,20223006
346,19651019,020254,-8.5,-74.400000000000006,112,4.7000000000000002,20223006
347,19651103,013904,-9.1210000000000004,-71.302999999999997,592,6.0999999999999996,20223006
348,19651106,010605,-9.2989999999999995,-79.099000000000004,20,4.9000000000000004,20223006
349,19651110,014722,-17.890000000000001,-69.519999999999996,143,4.7999999999999998,20223006
